epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1409.49,1.03814,1.16855,1.32828,0.7294,0.76766,0.81313,0.53495,1.17579,1.03182,1.63807,0.000456863,0.000456863,0.000456863
43,1442.98,1.03825,1.18853,1.33337,0.76187,0.72251,0.82906,0.57984,1.05291,1.04427,1.50781,0.00044925,0.00044925,0.00044925
44,1477.01,1.02295,1.11277,1.31854,0.89248,0.69329,0.8551,0.56582,1.12818,0.94608,1.55998,0.000441637,0.000441637,0.000441637
45,1510.33,1.05437,1.13063,1.3359,0.79887,0.75025,0.82115,0.54772,1.17652,0.95002,1.59104,0.000434024,0.000434024,0.000434024
46,1543.67,1.02496,1.07846,1.31283,0.90435,0.73268,0.86562,0.56642,1.20136,0.87207,1.61359,0.000426411,0.000426411,0.000426411
47,1577.07,1.03169,1.11952,1.30961,0.84992,0.73278,0.85108,0.56422,1.13463,0.94643,1.57037,0.000418797,0.000418797,0.000418797
48,1610.53,1.02856,1.08395,1.32271,0.80889,0.80943,0.88538,0.57777,1.18773,0.92218,1.60853,0.000411184,0.000411184,0.000411184
49,1643.89,1.03329,1.09345,1.32128,0.79817,0.81011,0.87767,0.58382,1.13658,0.84907,1.56162,0.000403571,0.000403571,0.000403571
50,1677.66,1.0044,1.06921,1.30485,0.86087,0.7881,0.83933,0.57564,1.08828,0.95949,1.49833,0.000395958,0.000395958,0.000395958
51,1711.12,0.99411,1.03533,1.29709,0.74137,0.63874,0.75442,0.47836,1.24876,1.22603,1.65759,0.000388345,0.000388345,0.000388345
52,1744.59,0.99485,1.03476,1.29933,0.77799,0.73421,0.8417,0.56432,1.14261,0.95362,1.58923,0.000380732,0.000380732,0.000380732
53,1778.05,0.98113,1.02612,1.29489,0.8606,0.80842,0.88984,0.61556,1.09701,0.80445,1.4962,0.000373119,0.000373119,0.000373119
54,1811.85,0.97927,1.02141,1.28091,0.86388,0.81477,0.89766,0.62787,1.08409,0.74345,1.50588,0.000365506,0.000365506,0.000365506
55,1845.72,0.97274,1.03498,1.29268,0.83377,0.87418,0.90982,0.62093,1.11315,0.767,1.52761,0.000357893,0.000357893,0.000357893
56,1879.19,0.9896,0.97418,1.28525,0.85616,0.79048,0.90367,0.62564,1.08654,0.8086,1.51584,0.00035028,0.00035028,0.00035028
57,1912.61,0.97612,0.97782,1.27194,0.88023,0.81314,0.88447,0.59668,1.12614,0.84928,1.54909,0.000342666,0.000342666,0.000342666
58,1945.95,0.96876,0.95336,1.279,0.81723,0.86339,0.90114,0.61643,1.1035,0.77814,1.54255,0.000335053,0.000335053,0.000335053
59,1979.43,0.9383,0.94885,1.2658,0.79207,0.74566,0.83752,0.58256,1.0503,0.87779,1.49322,0.00032744,0.00032744,0.00032744
60,2012.91,0.97405,0.97906,1.28295,0.83575,0.874,0.91929,0.6203,1.12408,0.72168,1.55045,0.000319827,0.000319827,0.000319827
61,2046.33,0.92511,0.93704,1.25894,0.89154,0.78583,0.89532,0.63152,1.05271,0.74843,1.47278,0.000312214,0.000312214,0.000312214
62,2080.11,0.97106,0.94481,1.27859,0.85237,0.85346,0.92138,0.64509,1.04987,0.70002,1.49672,0.000304601,0.000304601,0.000304601
63,2113.98,0.94914,0.93959,1.26609,0.82296,0.80334,0.86726,0.58083,1.12551,0.86517,1.52468,0.000296988,0.000296988,0.000296988
64,2147.3,0.94043,0.95387,1.25794,0.81946,0.84437,0.90487,0.63297,1.05167,0.79032,1.47621,0.000289375,0.000289375,0.000289375
65,2180.65,0.95663,0.95598,1.2721,0.78065,0.76713,0.85222,0.59704,1.05211,0.93216,1.4798,0.000281762,0.000281762,0.000281762
66,2214.1,0.9329,0.94742,1.24516,0.82696,0.84199,0.90572,0.61132,1.07637,0.73061,1.51103,0.000274148,0.000274148,0.000274148
67,2247.57,0.91069,0.89103,1.24871,0.87588,0.84962,0.91505,0.60525,1.1642,0.70016,1.60032,0.000266535,0.000266535,0.000266535
68,2281,0.92938,0.89735,1.26422,0.90047,0.85354,0.9281,0.65516,1.05835,0.6674,1.48291,0.000258922,0.000258922,0.000258922
69,2314.88,0.91127,0.84837,1.24772,0.84561,0.84906,0.91676,0.64765,1.05743,0.71277,1.47017,0.000251309,0.000251309,0.000251309
70,2348.25,0.93222,0.87875,1.26095,0.84989,0.81313,0.88375,0.6261,1.05729,0.79541,1.45942,0.000243696,0.000243696,0.000243696
